source_id,domain,source_url,local_path,retrieved_at,license_note
LUAT_24_2018_ANINHMANG,legal,https://congbao.chinhphu.vn/van-ban/luat-so-24-2018-qh14-26894.htm,data/raw/legal/LUAT_24_2018_ANINHMANG.pdf,2026-09-08,official-public-gazette-pdf
LUAT_86_2015_ATTTM,legal,https://vanban.vcci.com.vn/luat-an-toan-thong-tin-mang-862015qh13-2015,data/raw/legal/LUAT_86_2015_ATTTM.txt,2026-09-08,official-public-html
ND_53_2022_ANM,legal,https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-dinh-so-53-2022-nd-cp-quy-dinh-chi-tiet-mot-so-dieu-cua-luat-an-ninh-mang-119220819122533387.htm,data/raw/legal/ND_53_2022_ANM.html,2026-09-08,official-public-html
ND_13_2023_BVDLCN,legal,https://xaydungchinhsach.chinhphu.vn/toan-van-nghi-dinh-13-2023-nd-cp-bao-ve-du-lieu-ca-nhan-119230516104357809.htm,data/raw/legal/ND_13_2023_BVDLCN.html,2026-09-08,official-public-html
LUAT_20_2023_GDDT,legal,https://congbao.chinhphu.vn/van-ban/luat-so-20-2023-qh15-39848.htm,data/raw/legal/LUAT_20_2023_GDDT.pdf,2026-09-08,official-public-gazette-pdf
LUAT_24_2023_VIENTHONG,legal,https://xaydungchinhsach.chinhphu.vn/toan-van-luat-vien-thong-119240405141649213.htm,data/raw/legal/LUAT_24_2023_VIENTHONG.html,2026-09-08,official-public-html
ND_85_2016_ATTHTTT,legal,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-85-2016-nd-cp-20423.htm,data/raw/legal/ND_85_2016_ATTHTTT.pdf,2026-09-08,official-public-gazette-pdf
